epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7383248209953308,0.5016316771507263,0.001,0.9330145263671875,0.12003085439801216
1,0.9320456237792969,0.18004438732266426,0.001,0.9350234985351562,0.09501870726197958
2,0.9360127258300781,0.12001352023512125,0.001,0.9370336532592773,0.08007304577231407
3,0.9380224174499512,0.09508386145859957,0.001,0.9380091018676758,0.07502821773171425
4,0.9390267562866211,0.08007926431298256,0.001,0.9390086746215820,0.07004258830685616
5,0.9390112037658691,0.07508605822920799,0.001,0.9380846023559570,0.06801767234653234
6,0.9400310897827148,0.07006816539680585,0.001,0.9390489578247070,0.06501657148706727
7,0.9400090026855469,0.06803569153370336,0.001,0.9390112037658691,0.06302394874617457
8,0.9400310897827148,0.06500858059094753,0.001,0.9390089511871338,0.06200374035358211
9,0.9400000095367432,0.06305972270173515,0.001,0.9400173187255859,0.06102938651247050
10,0.9400000095367432,0.06103197935484422,0.0005,0.9400035858154297,0.06100665941648185
11,0.9400000095367432,0.06003374964080649,0.0005,0.9400031089782715,0.06002627539215609
